,Team,GP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,League,W/L%
28,Memphis Grizzlies,82,30.3,69.7,0.435,7.8,22.1,0.354,22.5,47.6,0.473,15.3,19.5,0.784,9.0,26.7,35.7,17.8,6.7,3.5,10.8,18.7,83.8,2016,NBA,0.528
29,Dallas Mavericks,82,30.2,68.6,0.44,8.9,25.2,0.355,21.2,43.5,0.489,12.3,15.4,0.801,6.6,25.6,32.2,17.3,6.2,3.1,9.9,15.9,81.6,2016,NBA,0.583
30,Golden State Warriors,82,35.7,70.9,0.503,9.4,24.1,0.391,26.2,46.8,0.56,13.8,16.9,0.815,7.0,29.3,36.2,24.4,6.7,6.2,12.9,16.3,94.6,2017,NBA,0.542
31,Houston Rockets,82,32.3,70.2,0.46,12.8,35.2,0.362,19.5,34.9,0.558,16.3,20.9,0.781,7.5,28.8,36.2,17.9,7.1,4.0,11.5,16.2,93.7,2017,NBA,0.236
32,New Orleans Pelicans,82,35.6,73.6,0.483,8.5,23.5,0.362,27.1,50.1,0.54,13.4,17.4,0.772,7.2,29.8,36.9,22.3,6.7,4.9,12.4,15.9,93.1,2017,NBA,0.431
33,Toronto Raptors,82,34.4,72.8,0.472,9.8,27.5,0.358,24.6,45.3,0.541,14.4,18.2,0.794,8.2,28.5,36.7,20.2,6.3,5.1,11.2,18.1,93.1,2017,NBA,0.375
34,Cleveland Cavaliers,82,33.7,70.7,0.476,10.0,26.8,0.372,23.7,43.8,0.54,15.1,19.4,0.779,7.1,28.1,35.1,19.5,5.9,3.2,11.4,15.5,92.4,2017,NBA,0.306
35,Denver Nuggets,82,33.9,72.2,0.47,9.6,25.8,0.371,24.3,46.4,0.525,14.3,18.6,0.767,9.2,27.9,37.1,20.9,6.3,4.1,12.5,15.6,91.7,2017,NBA,0.653
36,Philadelphia 76ers,82,34.0,72.2,0.472,9.2,24.8,0.369,24.9,47.3,0.526,14.3,19.0,0.752,9.1,30.4,39.5,22.6,6.9,4.2,13.8,18.4,91.5,2017,NBA,0.681
37,Minnesota Timberwolves,82,34.2,71.8,0.476,6.7,18.8,0.357,27.5,53.0,0.519,16.2,20.1,0.804,8.6,26.3,35.0,18.9,7.0,3.5,10.4,15.2,91.2,2017,NBA,0.319
