,Player,Height,Weight,Nationality,Continent,Pos,Age,Team,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,eFG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,League
0,Álex Abrines,198,91,Spain,Europe,SG,23,Oklahoma City Thunder,68,15.5,5.2,12.9,0.393,3.6,9.3,0.381,1.5,3.6,0.426,0.543,1.5,1.8,0.898,0.8,2.6,3.4,1.5,1.3,0.3,1.3,4.4,15.5,2016,NBA
1,Quincy Acy,201,109,USA,Americas,PF,26,Brooklyn Nets,38,14.7,4.9,12.2,0.412,2.7,6.5,0.411,2.4,5.7,0.413,0.512,3.3,4.4,0.75,1.4,6.8,8.2,1.4,1.1,1.1,1.6,4.9,15.8,2016,NBA
2,Steven Adams,211,120,New Zealand,Oceania,C,23,Oklahoma City Thunder,80,29.9,6.3,11.0,0.571,0.0,0.0,0.0,6.3,11.0,0.572,0.573,2.7,4.3,0.611,4.7,5.6,10.3,1.5,1.5,1.3,2.4,3.2,15.1,2016,NBA
3,Arron Afflalo,196,95,USA,Americas,SG,31,Sacramento Kings,61,25.9,4.6,10.7,0.44,1.5,3.9,0.411,3.1,6.8,0.457,0.5,2.2,2.3,0.892,0.2,2.9,3.1,2.0,0.5,0.2,1.1,2.6,13.0,2016,NBA
4,Alexis Ajinça,218,112,France,Europe,C,28,New Orleans Pelicans,39,15.0,6.1,12.3,0.5,0.0,0.3,0.0,6.1,12.0,0.511,0.496,1.9,2.7,0.725,3.2,9.1,12.0,0.8,1.3,1.6,2.1,5.3,14.1,2016,NBA
5,LaMarcus Aldridge,211,113,USA,Americas,PF,31,San Antonio Spurs,72,32.4,8.5,18.0,0.477,0.4,1.0,0.411,8.1,17.0,0.48,0.483,3.8,4.7,0.812,3.0,6.0,9.0,2.3,0.7,1.5,1.7,2.7,21.4,2016,NBA
6,Lavoy Allen,206,118,USA,Americas,PF,27,Indiana Pacers,61,14.3,3.6,7.8,0.458,0.0,0.0,0.0,3.6,7.6,0.461,0.462,1.1,1.4,0.697,4.8,5.3,10.1,2.5,0.8,1.1,1.4,3.6,8.1,2016,NBA
7,Tony Allen,193,96,USA,Americas,SG,35,Memphis Grizzlies,71,27.0,5.8,12.4,0.461,0.3,1.2,0.278,5.3,11.3,0.479,0.48,1.6,2.7,0.615,3.4,4.7,8.1,2.1,2.4,0.6,2.1,3.7,13.5,2016,NBA
8,Al-Farouq Aminu,203,100,USA,Americas,PF,26,Portland Trail Blazers,61,29.1,4.1,10.4,0.393,1.5,4.8,0.33,2.6,5.8,0.445,0.466,2.2,3.0,0.706,1.8,8.4,10.2,2.2,1.4,1.0,2.1,2.3,12.0,2016,NBA
9,Alan Anderson,198,100,USA,Americas,SF,34,Los Angeles Clippers,30,10.3,3.9,10.5,0.375,1.9,5.8,0.318,1.9,4.7,0.444,0.462,1.6,1.9,0.75,0.4,2.7,3.1,1.6,0.4,0.0,0.8,4.7,11.3,2016,NBA
10,Justin Anderson,198,104,USA,Americas,SF,23,Dallas Mavericks,75,16.4,6.1,14.4,0.424,2.0,6.3,0.299,4.1,8.0,0.522,0.493,3.4,4.1,0.791,2.2,5.6,8.0,2.2,1.2,0.7,2.2,3.7,17.3,2016,NBA
11,Kyle Anderson,206,104,USA,Americas,SF,23,San Antonio Spurs,72,14.2,3.7,8.2,0.445,0.6,1.7,0.375,3.1,6.5,0.462,0.488,1.7,2.3,0.789,1.4,6.8,8.2,3.7,2.0,1.1,1.4,2.5,9.6,2016,NBA
12,Ryan Anderson,206,109,USA,Americas,PF,28,Houston Rockets,72,29.4,6.1,14.6,0.418,3.8,9.5,0.403,2.3,5.0,0.446,0.548,2.4,2.9,0.86,2.2,4.1,6.3,1.2,0.5,0.3,1.1,2.7,18.5,2016,NBA
13,Giannis Antetokounmpo,211,110,Greece,Europe,SF,22,Milwaukee Bucks,80,35.6,9.2,17.6,0.521,0.7,2.6,0.272,8.5,15.2,0.563,0.543,6.6,8.7,0.77,2.0,7.9,9.9,6.1,1.8,2.1,3.3,3.5,25.7,2016,NBA
14,Carmelo Anthony,201,108,USA,Americas,SF,32,New York Knicks,74,34.3,9.4,21.9,0.433,2.3,6.6,0.359,7.1,15.3,0.466,0.482,4.8,5.7,0.833,0.9,5.9,6.9,3.4,0.9,0.6,2.4,3.1,26.1,2016,NBA
15,Trevor Ariza,203,97,USA,Americas,SF,31,Houston Rockets,80,34.7,4.7,11.5,0.409,2.8,8.0,0.344,2.0,3.5,0.556,0.53,1.4,1.8,0.738,0.8,5.9,6.6,2.5,2.1,0.3,1.0,2.0,13.5,2016,NBA
16,Darrell Arthur,206,106,USA,Americas,PF,28,Denver Nuggets,41,15.6,5.9,13.3,0.442,3.3,7.4,0.453,2.6,6.2,0.429,0.568,1.3,1.3,0.864,1.5,5.4,6.9,2.6,1.3,1.3,2.3,4.9,16.4,2016,NBA
17,Ömer Aşık,213,116,Turkey,Asia,C,30,New Orleans Pelicans,31,15.5,2.6,5.4,0.477,0.0,0.0,0.0,2.6,5.4,0.477,0.481,1.8,3.4,0.59,3.9,9.5,13.7,1.3,0.5,0.8,1.3,4.1,7.0,2016,NBA
18,D.J. Augustin,180,83,USA,Americas,PG,29,Orlando Magic,78,19.7,5.1,13.4,0.377,2.4,7.1,0.347,2.6,6.3,0.412,0.47,3.5,4.3,0.814,0.4,2.6,3.0,5.5,0.8,0.0,2.4,2.6,16.0,2016,NBA
19,Luke Babbitt,206,102,USA,Americas,SF,27,Miami Heat,68,15.7,4.3,10.4,0.402,3.3,7.9,0.414,1.0,2.5,0.366,0.572,0.5,0.5,0.733,0.5,4.8,5.4,1.3,0.8,0.5,1.0,4.3,12.2,2016,NBA
20,Ron Baker,193,100,USA,Americas,SG,23,New York Knicks,52,16.5,3.9,10.2,0.378,1.0,4.1,0.267,2.7,6.1,0.45,0.431,1.2,1.9,0.651,0.5,4.1,4.6,5.1,1.7,0.5,2.7,3.4,9.9,2016,NBA
21,Wade Baldwin,193,91,USA,Americas,PG,20,Memphis Grizzlies,33,12.3,3.6,11.4,0.313,0.3,2.3,0.136,3.3,9.1,0.355,0.329,2.9,3.6,0.838,1.0,3.6,4.6,5.9,1.6,0.7,3.9,3.9,10.4,2016,NBA
22,Leandro Barbosa,190,88,Brazil,Americas,SG,34,Phoenix Suns,67,14.4,7.2,16.4,0.439,1.4,4.2,0.357,5.6,12.2,0.466,0.482,1.7,1.9,0.889,0.6,3.6,4.4,3.3,1.4,0.3,1.9,3.3,17.5,2016,NBA
23,J.J. Barea,178,82,Puerto Rico,Americas,PG,32,Dallas Mavericks,35,22.0,7.5,17.8,0.414,2.7,7.6,0.358,4.5,10.2,0.456,0.497,2.4,2.7,0.863,0.5,3.8,4.4,10.0,0.7,0.0,3.3,1.6,19.8,2016,NBA
24,Harrison Barnes,203,102,USA,Americas,PF,24,Dallas Mavericks,79,35.5,8.6,18.3,0.468,1.1,3.2,0.351,7.4,15.1,0.492,0.5,3.5,4.1,0.861,1.4,4.3,5.6,1.7,0.9,0.2,1.5,1.8,21.6,2016,NBA
25,Matt Barnes,201,102,USA,Americas,SF,36,Sacramento Kings,74,24.0,4.2,10.7,0.391,2.0,6.0,0.331,2.2,4.7,0.467,0.486,1.5,2.0,0.787,1.5,7.0,8.7,4.3,1.0,0.7,2.3,4.2,11.8,2016,NBA
26,Will Barton,198,82,USA,Americas,SG,26,Denver Nuggets,60,28.4,6.9,15.6,0.443,2.1,5.5,0.37,4.9,10.1,0.483,0.51,3.4,4.5,0.753,1.4,4.8,6.1,4.8,1.1,0.7,2.3,2.5,19.3,2016,NBA
27,Brandon Bass,203,113,USA,Americas,PF,31,Los Angeles Clippers,52,11.1,7.6,13.0,0.575,0.0,0.4,0.333,7.2,12.6,0.579,0.585,5.4,6.1,0.875,2.9,6.1,9.0,1.4,1.1,0.7,2.2,3.2,20.2,2016,NBA
28,Nicolas Batum,203,104,France,Europe,SG,28,Charlotte Hornets,77,34.0,6.0,14.9,0.403,2.1,6.2,0.333,4.0,8.7,0.453,0.473,3.8,4.4,0.856,0.7,6.6,7.3,6.9,1.3,0.5,2.9,1.6,17.8,2016,NBA
29,Aron Baynes,208,118,New Zealand,Oceania,C,30,Detroit Pistons,75,15.5,4.9,9.5,0.513,0.0,0.0,0.0,4.9,9.5,0.513,0.516,2.8,3.4,0.84,3.9,7.7,11.4,1.0,0.5,1.3,1.8,5.7,12.6,2016,NBA
30,Kent Bazemore,193,88,USA,Americas,SF,27,Atlanta Hawks,73,26.9,5.9,14.7,0.409,1.9,5.4,0.346,4.2,9.2,0.446,0.466,2.4,3.4,0.708,0.9,3.7,4.8,3.6,1.8,1.0,2.5,3.4,16.4,2016,NBA
31,Bradley Beal,193,94,USA,Americas,SG,23,Washington Wizards,77,34.9,9.5,19.7,0.482,3.3,8.3,0.404,6.2,11.5,0.538,0.566,4.2,5.0,0.825,0.8,2.8,3.6,4.0,1.3,0.3,2.3,2.5,26.5,2016,NBA
32,Michael Beasley,206,106,USA,Americas,PF,28,Milwaukee Bucks,56,16.7,9.3,17.5,0.532,0.7,1.9,0.419,8.4,15.6,0.545,0.551,3.4,4.6,0.743,1.7,6.5,8.1,2.2,1.2,1.2,2.9,3.8,22.5,2016,NBA
33,Marco Belinelli,196,100,Italy,Europe,SG,30,Charlotte Hornets,74,24.0,6.0,13.8,0.429,2.3,6.3,0.36,3.7,7.5,0.488,0.518,3.3,3.8,0.893,0.3,3.7,4.0,3.3,1.0,0.2,1.5,2.0,17.5,2016,NBA
34,Dragan Bender,213,102,Bosnia and Herzegovina,Europe,PF,19,Phoenix Suns,43,13.3,3.9,11.1,0.354,2.1,6.9,0.277,2.1,4.2,0.483,0.446,0.3,0.9,0.364,1.5,5.7,7.2,1.5,0.6,1.5,2.1,5.1,10.2,2016,NBA
35,Anthony Bennett,203,111,Canada,Americas,PF,23,Brooklyn Nets,23,11.5,5.9,13.9,0.413,2.1,7.3,0.271,3.8,6.6,0.568,0.5,3.8,5.6,0.722,3.8,8.0,11.8,1.7,0.7,0.3,1.7,2.8,17.4,2016,NBA
36,Dāvis Bertāns,208,102,Latvia,Europe,PF,24,San Antonio Spurs,67,12.1,5.0,11.6,0.44,3.3,8.6,0.399,1.7,3.0,0.557,0.573,1.3,1.7,0.824,1.0,3.6,5.0,2.3,1.0,1.3,1.7,3.6,14.9,2016,NBA
37,Patrick Beverley,185,82,USA,Americas,SG,28,Houston Rockets,67,30.7,4.4,10.6,0.42,2.1,5.6,0.382,2.3,5.0,0.463,0.514,1.4,1.8,0.768,1.8,5.7,7.7,5.5,2.0,0.5,2.0,4.3,12.4,2016,NBA
38,Bismack Biyombo,203,116,Republic of the Congo,Africa,C,24,Orlando Magic,81,22.1,4.0,7.6,0.528,0.0,0.0,0.0,4.0,7.6,0.528,0.526,2.7,5.2,0.534,3.4,9.2,12.7,1.6,0.5,2.0,2.2,4.5,10.9,2016,NBA
39,Nemanja Bjelica,208,106,Serbia,Europe,PF,28,Minnesota Timberwolves,65,18.3,5.0,12.0,0.424,2.0,5.9,0.316,3.3,6.1,0.531,0.5,1.5,2.0,0.738,2.0,6.3,8.3,2.6,1.3,0.7,2.0,5.2,13.6,2016,NBA
40,Tarik Black,206,113,USA,Americas,C,25,Los Angeles Lakers,67,16.3,5.4,10.8,0.51,0.0,0.0,0.5,5.4,10.8,0.51,0.5,2.9,3.9,0.752,5.2,7.4,12.5,1.5,1.0,1.7,2.2,6.4,14.0,2016,NBA
41,Eric Bledsoe,185,97,USA,Americas,PG,27,Phoenix Suns,66,33.0,8.2,19.0,0.434,1.9,5.7,0.335,6.3,13.3,0.477,0.482,7.2,8.4,0.847,1.0,5.0,5.8,7.6,1.7,0.6,4.1,3.0,25.6,2016,NBA
42,Bojan Bogdanović,201,102,Bosnia and Herzegovina,Europe,SF,27,Brooklyn Nets,81,25.7,7.2,16.2,0.445,2.8,7.5,0.367,4.5,8.7,0.512,0.531,4.2,4.7,0.893,0.8,4.7,5.3,2.2,0.6,0.2,2.5,2.8,21.3,2016,NBA
43,Andrew Bogut,213,118,Australia,Oceania,C,32,Dallas Mavericks,27,21.6,2.6,5.6,0.469,0.0,0.0,0.0,2.6,5.6,0.475,0.464,0.2,0.7,0.273,3.9,11.1,15.0,3.3,0.9,1.7,3.0,5.9,5.4,2016,NBA
44,Devin Booker,196,93,USA,Americas,SG,20,Phoenix Suns,78,35.0,8.9,20.9,0.423,2.2,5.9,0.363,6.7,15.1,0.447,0.478,5.4,6.5,0.832,0.7,3.0,3.7,3.9,1.0,0.3,3.5,3.5,25.3,2016,NBA
45,Trevor Booker,203,103,USA,Americas,PF,29,Brooklyn Nets,71,24.7,7.0,13.4,0.516,0.6,1.8,0.321,6.3,11.7,0.546,0.545,1.6,2.4,0.673,3.2,9.7,13.0,3.1,1.8,0.6,2.9,3.4,16.2,2016,NBA
46,Avery Bradley,190,82,USA,Americas,SG,26,Boston Celtics,55,33.4,7.8,16.9,0.463,2.4,6.0,0.39,5.5,10.9,0.504,0.533,1.4,2.0,0.731,1.4,5.9,7.3,2.6,1.4,0.2,1.9,3.1,19.5,2016,NBA
47,Corey Brewer,206,84,USA,Americas,SF,30,Houston Rockets,82,15.6,4.6,10.8,0.422,0.8,3.6,0.229,3.8,7.2,0.522,0.463,1.5,2.1,0.735,1.0,4.1,5.1,3.1,1.8,0.5,1.8,4.1,11.5,2016,NBA
48,Malcolm Brogdon,196,104,USA,Americas,SG,24,Milwaukee Bucks,75,26.4,5.9,12.9,0.457,1.5,3.9,0.404,4.2,8.9,0.48,0.516,2.3,2.6,0.865,0.9,3.3,4.2,6.4,1.7,0.3,2.3,2.9,15.5,2016,NBA
49,Aaron Brooks,183,73,USA,Americas,PG,32,Indiana Pacers,65,13.8,5.5,13.3,0.403,2.0,5.8,0.375,3.2,7.5,0.424,0.489,1.4,1.7,0.8,0.9,2.3,3.2,5.5,1.2,0.3,2.9,4.1,14.5,2016,NBA
50,Anthony Brown,201,95,USA,Americas,SF,24,New Orleans Pelicans,11,14.5,4.4,12.4,0.36,1.7,6.9,0.259,2.8,5.8,0.478,0.423,0.0,0.0,0.0,1.9,6.3,8.3,1.9,1.4,0.3,1.4,3.9,10.8,2016,NBA
51,Jaylen Brown,198,101,USA,Americas,SF,20,Boston Celtics,78,17.2,5.8,12.6,0.454,1.4,4.0,0.341,4.4,8.6,0.507,0.516,2.6,3.7,0.685,1.4,5.1,6.5,1.9,0.9,0.5,2.1,4.2,15.3,2016,NBA
52,Reggie Bullock,198,93,USA,Americas,SF,25,Detroit Pistons,31,15.1,4.5,10.9,0.422,2.4,6.4,0.384,2.1,4.8,0.473,0.523,0.5,0.5,0.714,1.1,4.2,5.6,2.4,1.6,0.3,0.8,1.9,11.9,2016,NBA
53,Trey Burke,183,84,USA,Americas,PG,24,Washington Wizards,57,12.3,6.5,14.6,0.455,1.6,3.9,0.443,4.9,10.4,0.459,0.5,1.3,1.6,0.759,0.3,2.3,2.6,5.9,0.7,0.3,2.6,2.9,16.3,2016,NBA
54,Alec Burks,198,97,USA,Americas,SG,25,Utah Jazz,42,15.5,6.2,15.2,0.399,1.5,4.6,0.329,4.6,10.6,0.43,0.457,3.6,4.9,0.769,1.0,6.5,7.5,1.8,1.0,0.3,2.1,3.1,17.3,2016,NBA
55,Jimmy Butler,201,104,USA,Americas,SF,27,Chicago Bulls,76,37.0,8.1,17.8,0.455,1.3,3.6,0.367,6.8,14.3,0.477,0.492,8.3,9.6,0.865,1.8,4.9,6.7,5.9,2.1,0.4,2.3,1.6,25.8,2016,NBA
56,José Calderón,190,91,Spain,Europe,PG,35,Los Angeles Lakers,41,13.1,4.0,10.1,0.41,1.5,4.9,0.313,2.7,5.2,0.5,0.47,0.9,0.9,0.917,1.2,4.3,5.5,6.4,0.9,0.0,3.1,2.7,10.4,2016,NBA
57,Kentavious Caldwell-Pope,196,92,USA,Americas,SG,23,Detroit Pistons,76,33.3,5.9,14.7,0.399,2.4,7.0,0.35,3.5,7.8,0.442,0.483,2.4,2.9,0.832,0.8,3.0,4.0,3.0,1.4,0.2,1.3,1.9,16.6,2016,NBA
58,Isaiah Canaan,183,91,USA,Americas,SG,25,Chicago Bulls,39,15.2,4.2,11.6,0.364,1.6,6.3,0.266,2.6,5.3,0.481,0.431,2.1,2.1,0.909,0.5,2.9,3.4,2.4,1.6,0.0,1.3,2.4,12.1,2016,NBA
59,Clint Capela,208,109,Switzerland,Europe,C,22,Houston Rockets,65,23.9,9.4,14.6,0.643,0.0,0.0,0.0,9.4,14.6,0.643,0.644,2.3,4.5,0.531,4.5,9.0,13.6,1.7,0.8,2.0,2.2,4.7,21.1,2016,NBA
60,DeMarre Carroll,198,97,USA,Americas,SF,30,Toronto Raptors,72,26.1,4.8,11.6,0.4,2.3,6.7,0.341,2.3,4.9,0.483,0.513,1.8,2.5,0.761,1.4,4.4,5.8,1.5,1.7,0.6,1.2,3.1,13.6,2016,NBA
61,Vince Carter,198,100,USA,Americas,SF,40,Memphis Grizzlies,73,24.6,4.2,10.9,0.394,2.4,6.7,0.378,1.8,4.4,0.418,0.495,2.0,2.6,0.765,0.8,4.2,5.0,2.9,1.3,0.8,1.1,3.6,13.0,2016,NBA
62,Michael Carter-Williams,196,86,USA,Americas,PG,25,Chicago Bulls,45,18.8,5.3,14.5,0.366,0.6,3.0,0.234,4.7,11.5,0.401,0.386,2.8,3.6,0.753,1.1,6.2,7.2,5.3,1.7,1.1,3.2,4.9,14.0,2016,NBA
63,Omri Casspi,206,102,Israel,Asia,PF,28,Sacramento Kings,36,17.9,4.7,10.3,0.47,0.9,2.7,0.349,3.8,7.6,0.512,0.5,1.1,1.8,0.586,1.8,5.4,6.9,2.2,1.3,0.2,1.8,3.1,11.6,2016,NBA
64,Willie Cauley-Stein,213,109,USA,Americas,C,23,Sacramento Kings,75,18.9,7.2,13.5,0.53,0.0,0.0,0.0,7.2,13.5,0.532,0.533,2.8,4.2,0.669,2.3,7.2,9.5,2.3,1.5,1.3,1.9,4.2,17.1,2016,NBA
65,Tyson Chandler,213,106,USA,Americas,C,34,Phoenix Suns,47,27.6,4.8,7.1,0.671,0.0,0.0,0.0,4.8,7.1,0.671,0.676,2.8,3.8,0.734,4.8,11.9,16.7,0.9,1.0,0.7,2.0,3.9,12.2,2016,NBA
66,Wilson Chandler,203,106,USA,Americas,SF,29,Denver Nuggets,71,30.9,7.9,17.1,0.461,1.9,6.0,0.337,5.8,11.1,0.527,0.518,2.6,3.5,0.727,1.9,6.5,8.4,2.6,0.9,0.5,2.1,3.1,20.3,2016,NBA
67,Marquese Chriss,206,109,USA,Americas,PF,19,Phoenix Suns,82,21.3,6.6,14.5,0.449,1.7,5.1,0.321,4.9,9.4,0.52,0.514,2.6,4.1,0.624,2.3,5.8,7.9,1.3,1.5,1.7,2.4,6.0,17.3,2016,NBA
68,Semaj Christon,190,86,USA,Americas,PG,24,Oklahoma City Thunder,64,15.2,3.2,9.2,0.345,0.5,2.6,0.19,2.6,6.6,0.406,0.375,0.8,1.3,0.548,0.8,2.9,3.7,5.3,1.1,0.3,1.8,3.2,7.6,2016,NBA
69,Ian Clark,190,79,USA,Americas,SG,25,Golden State Warriors,77,14.8,7.3,15.1,0.487,2.2,5.7,0.374,5.1,9.5,0.556,0.556,1.6,2.2,0.759,0.8,3.5,4.3,3.2,1.4,0.3,1.9,2.7,18.4,2016,NBA
70,Jordan Clarkson,193,88,USA,Americas,SG,24,Los Angeles Lakers,82,29.2,7.9,17.9,0.445,1.9,5.9,0.329,6.0,11.9,0.503,0.494,2.2,2.7,0.798,0.8,3.3,4.1,3.6,1.5,0.1,2.7,2.5,20.1,2016,NBA
71,Darren Collison,183,79,USA,Americas,PG,29,Sacramento Kings,68,30.3,6.6,13.9,0.476,1.5,3.4,0.417,5.1,10.4,0.495,0.529,2.9,3.3,0.86,0.4,2.5,2.9,6.1,1.3,0.1,2.2,2.4,17.4,2016,NBA
72,Mike Conley,185,79,USA,Americas,PG,29,Memphis Grizzlies,69,33.2,8.1,17.6,0.46,3.0,7.3,0.408,5.1,10.4,0.497,0.545,5.5,6.4,0.859,0.5,3.6,4.2,7.6,1.6,0.4,2.8,2.2,24.7,2016,NBA
73,Quinn Cook,185,82,USA,Americas,PG,23,New Orleans Pelicans,14,13.4,7.2,14.0,0.5,2.4,5.7,0.423,4.8,8.7,0.55,0.6,0.3,1.2,0.4,0.3,1.2,1.5,5.7,0.9,0.0,2.7,2.7,16.7,2016,NBA
74,DeMarcus Cousins,208,122,USA,Americas,C,26,Sacramento Kings,72,34.2,10.5,23.3,0.452,2.1,5.8,0.361,8.4,17.3,0.483,0.496,8.4,10.9,0.772,2.5,10.4,12.9,5.4,1.6,1.5,4.3,4.6,31.6,2016,NBA
75,Robert Covington,201,95,USA,Americas,SF,26,Philadelphia 76ers,67,31.6,5.6,13.8,0.399,2.5,7.7,0.333,2.9,6.1,0.484,0.496,2.7,3.3,0.822,1.8,6.5,8.2,1.9,2.4,1.3,2.5,3.8,16.3,2016,NBA
76,Allen Crabbe,196,96,USA,Americas,SG,24,Portland Trail Blazers,79,28.5,5.3,11.5,0.468,2.4,5.3,0.444,2.9,6.2,0.49,0.565,1.8,2.2,0.847,0.3,3.6,4.1,1.7,1.0,0.4,1.1,3.1,15.0,2016,NBA
77,Jamal Crawford,196,84,USA,Americas,SG,36,Los Angeles Clippers,82,26.3,6.7,16.1,0.413,2.1,5.9,0.36,4.6,10.2,0.443,0.481,3.2,3.8,0.857,0.3,2.1,2.4,4.0,1.1,0.3,2.4,2.1,18.7,2016,NBA
78,Jordan Crawford,193,88,USA,Americas,SG,28,New Orleans Pelicans,19,23.3,9.4,19.7,0.482,3.3,8.6,0.389,6.2,11.2,0.553,0.561,1.9,2.4,0.769,0.3,2.7,3.1,5.2,1.0,0.2,2.2,2.7,24.2,2016,NBA
79,Jae Crowder,198,106,USA,Americas,SF,26,Boston Celtics,72,32.4,5.7,12.3,0.463,2.7,6.8,0.398,3.0,5.6,0.54,0.573,3.0,3.7,0.811,0.9,6.3,7.2,2.7,1.2,0.4,1.4,2.7,17.2,2016,NBA
80,Dante Cunningham,203,104,USA,Americas,PF,29,New Orleans Pelicans,66,25.0,4.2,8.6,0.485,1.8,4.3,0.392,2.6,4.3,0.579,0.593,0.3,0.6,0.593,1.3,5.3,6.7,1.0,1.0,0.6,0.6,2.4,10.6,2016,NBA
81,Seth Curry,188,84,USA,Americas,PG,26,Dallas Mavericks,70,29.0,6.6,13.8,0.481,2.8,6.3,0.425,4.0,7.4,0.528,0.58,1.7,1.9,0.85,0.6,3.0,3.6,3.7,1.5,0.1,1.8,2.5,17.7,2016,NBA
82,Stephen Curry,188,84,USA,Americas,PG,28,Golden State Warriors,79,33.4,10.2,21.9,0.468,4.9,12.0,0.411,5.3,9.9,0.537,0.578,4.9,5.5,0.898,1.0,4.4,5.4,7.9,2.2,0.2,3.6,2.8,30.3,2016,NBA
83,Troy Daniels,193,91,USA,Americas,SG,25,Memphis Grizzlies,67,17.7,6.3,16.7,0.374,4.7,12.0,0.389,1.6,4.7,0.336,0.518,1.4,1.8,0.796,0.7,2.7,3.4,1.6,0.7,0.2,1.6,2.9,18.5,2016,NBA
84,Anthony Davis,208,115,USA,Americas,C,23,New Orleans Pelicans,75,36.1,11.4,22.5,0.505,0.6,2.0,0.299,10.7,20.6,0.524,0.52,7.6,9.5,0.802,2.5,10.5,13.1,2.3,1.4,2.4,2.7,2.4,31.0,2016,NBA
85,Ed Davis,206,99,USA,Americas,PF,27,Portland Trail Blazers,46,17.2,3.7,7.2,0.528,0.0,0.0,0.0,3.7,7.2,0.528,0.514,2.6,4.2,0.617,4.9,7.4,12.3,1.4,0.7,1.2,1.9,7.0,10.0,2016,NBA
86,Dewayne Dedmon,213,111,USA,Americas,C,27,San Antonio Spurs,76,17.5,4.8,7.8,0.622,0.0,0.0,0.0,4.8,7.8,0.622,0.615,2.1,2.7,0.699,3.9,11.0,14.9,1.4,1.1,1.8,1.8,5.5,11.7,2016,NBA
87,Sam Dekker,206,104,USA,Americas,PF,22,Houston Rockets,77,18.4,5.7,12.2,0.473,1.7,5.2,0.321,4.1,6.7,0.591,0.537,1.1,2.0,0.559,2.6,5.4,8.0,2.2,1.1,0.7,1.1,2.4,14.1,2016,NBA
88,Malcolm Delaney,190,86,USA,Americas,PG,27,Atlanta Hawks,73,17.1,4.7,12.4,0.374,0.9,3.5,0.236,3.7,8.9,0.428,0.415,2.3,3.0,0.806,0.2,3.5,4.0,6.1,1.2,0.0,3.0,3.5,12.6,2016,NBA
89,Matthew Dellavedova,190,91,Australia,Oceania,PG,26,Milwaukee Bucks,76,26.1,4.1,10.7,0.39,1.5,4.3,0.367,2.6,6.4,0.404,0.453,1.7,2.0,0.854,0.5,2.5,2.9,7.2,1.1,0.0,2.8,3.1,11.6,2016,NBA
90,Luol Deng,206,107,South Sudan,Africa,SF,31,Los Angeles Lakers,56,26.5,4.4,11.5,0.387,1.4,4.4,0.309,3.0,6.9,0.436,0.443,1.2,1.7,0.73,1.7,6.2,8.0,2.0,1.4,0.6,1.2,1.7,11.5,2016,NBA
91,DeMar DeRozan,198,100,USA,Americas,SG,27,Toronto Raptors,74,35.4,11.0,23.6,0.467,0.5,1.9,0.266,10.5,21.7,0.484,0.477,8.4,9.8,0.842,1.0,4.9,5.9,4.4,1.2,0.2,2.7,2.0,30.8,2016,NBA
92,Cheick Diallo,203,99,Mali,Africa,PF,20,New Orleans Pelicans,17,11.7,7.2,15.4,0.474,0.0,0.0,0.0,7.2,15.4,0.474,0.468,3.1,4.1,0.714,4.8,9.9,14.7,0.7,0.7,1.4,1.4,3.4,17.4,2016,NBA
93,Boris Diaw,203,113,France,Europe,PF,34,Utah Jazz,73,17.6,4.5,10.2,0.446,0.7,2.5,0.247,3.9,7.7,0.512,0.475,0.9,1.1,0.743,1.4,3.4,5.0,5.2,0.5,0.2,2.7,2.5,10.5,2016,NBA
94,Gorgui Dieng,208,114,Senegal,Africa,PF,27,Minnesota Timberwolves,82,32.4,4.9,10.0,0.502,0.2,0.6,0.372,4.8,9.3,0.511,0.5,2.1,2.5,0.814,2.8,6.9,9.8,2.3,1.4,1.5,1.6,3.8,12.3,2016,NBA
95,Spencer Dinwiddie,196,97,USA,Americas,PG,23,Brooklyn Nets,59,22.6,4.1,9.0,0.444,1.1,3.0,0.376,2.8,6.0,0.478,0.517,3.7,4.8,0.792,0.9,4.1,5.0,5.5,1.2,0.7,1.9,3.5,12.9,2016,NBA
96,Toney Douglas,188,88,USA,Americas,PG,30,Memphis Grizzlies,24,16.4,4.4,12.0,0.368,0.7,4.4,0.167,3.7,7.6,0.48,0.396,2.4,2.9,0.828,1.2,4.9,6.1,5.6,2.0,0.5,2.2,5.1,12.0,2016,NBA
97,Goran Dragić,190,86,Slovenia,Europe,PG,30,Miami Heat,73,33.7,8.7,18.3,0.475,1.9,4.7,0.405,6.8,13.5,0.499,0.527,4.9,6.2,0.79,0.9,3.6,4.5,6.9,1.4,0.2,3.4,3.2,24.1,2016,NBA
98,Andre Drummond,208,126,USA,Americas,C,23,Detroit Pistons,81,29.7,8.1,15.1,0.53,0.0,0.1,0.286,7.9,15.1,0.532,0.536,2.3,5.9,0.386,5.8,12.8,18.6,1.5,2.0,1.5,2.6,3.9,18.3,2016,NBA
99,Jared Dudley,198,107,USA,Americas,PF,31,Phoenix Suns,64,21.3,4.7,10.1,0.454,2.3,6.0,0.379,2.4,4.1,0.559,0.579,1.3,1.9,0.662,0.9,5.6,6.6,3.6,1.3,0.6,2.1,4.5,12.8,2016,NBA
