,Player,Height,Weight,Nationality,Continent,Pos,Age,Team,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,eFG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,League
2426,Keith Langford,193,92,USA,Americas,G,35,Panathinaikos,25,19.9,7.2,17.1,0.427,2.0,5.2,0.391,5.2,11.9,0.441,0.48,4.8,6.0,0.811,0.6,3.8,4.4,2.2,1.4,0.4,1.8,3.8,21.5,2018,EL
2427,Johnny O'Bryant,206,116,USA,Americas,FC,25,Maccabi FOX Tel Aviv,30,23.4,6.8,17.3,0.393,2.1,6.8,0.306,4.8,10.4,0.459,0.454,2.6,3.2,0.786,1.7,8.4,10.1,2.2,0.9,0.5,3.4,4.4,18.1,2018,EL
2428,Georgios Printezis,206,106,Greece,Europe,F,34,Olympiacos,30,25.6,6.9,14.4,0.48,0.6,2.0,0.308,6.2,12.3,0.506,0.5,2.2,3.4,0.621,2.3,5.8,8.1,2.0,0.6,0.3,1.7,2.0,16.6,2018,EL
2429,Sergio Llull,190,86,Spain,Europe,PG,31,Real Madrid,27,21.4,6.4,17.8,0.358,3.7,11.4,0.321,2.6,6.4,0.412,0.463,3.2,3.4,0.958,0.2,3.6,3.7,7.5,0.7,0.0,2.2,3.6,19.6,2018,EL
2430,Deshaun Thomas,201,100,USA,Americas,F,27,Panathinaikos,32,22.4,7.3,14.8,0.487,1.8,5.2,0.355,5.5,9.6,0.574,0.554,2.3,3.4,0.689,2.1,4.5,6.8,1.1,1.1,0.2,1.8,2.9,18.8,2018,EL
2431,Thomas Heurtel,188,82,France,Europe,G,29,Barca,35,21.1,7.4,15.5,0.477,1.9,4.4,0.45,5.5,11.2,0.492,0.539,3.0,4.0,0.753,0.6,3.0,3.6,9.1,1.3,0.0,4.4,2.7,19.7,2018,EL
2432,Marcus Eriksson,201,81,Sweden,Europe,GF,25,Gran Canaria,29,18.6,7.7,17.6,0.443,4.5,11.0,0.415,3.2,6.7,0.484,0.565,2.4,2.4,0.939,0.4,2.4,2.8,1.9,1.3,0.0,1.3,2.2,22.4,2018,EL
2433,Chris Evans,203,100,USA,Americas,F,28,Gran Canaria,12,18.8,8.1,17.0,0.469,2.6,6.0,0.424,5.5,11.1,0.5,0.553,3.4,3.8,0.864,2.6,3.0,5.5,2.3,1.1,0.2,2.1,3.8,21.7,2018,EL
2434,Sergio Rodriguez,190,80,Spain,Europe,PG,32,CSKA Moscow,35,21.9,6.6,15.7,0.421,3.5,8.9,0.392,3.1,6.8,0.459,0.532,1.8,2.2,0.878,0.5,2.4,2.7,8.2,1.3,0.2,4.0,3.8,18.6,2018,EL
2435,Vassilis Spanoulis,193,95,Greece,Europe,SG,36,Olympiacos,25,22.1,6.2,15.9,0.382,2.9,8.7,0.331,3.3,7.2,0.45,0.481,3.4,4.7,0.712,0.4,2.9,3.3,9.2,0.7,0.0,5.2,4.2,18.5,2018,EL
2436,Matt Janning,193,90,USA,Americas,GF,30,Baskonia,28,25.0,5.4,13.1,0.413,3.5,9.6,0.377,1.9,3.5,0.545,0.546,1.8,2.2,0.795,0.6,2.9,3.4,2.9,1.3,0.2,1.6,2.9,16.2,2018,EL
2437,Ante Tomic,216,102,Croatia,Europe,C,32,Barca,35,20.3,8.3,13.4,0.616,0.0,0.0,0.0,8.3,13.4,0.618,0.619,3.3,5.5,0.612,3.9,5.9,9.9,3.3,1.0,0.6,3.2,4.5,19.9,2018,EL
2438,Vladimir Lucic,203,91,Serbia,Europe,SF,29,Bayern Munich,29,26.2,5.5,10.5,0.523,1.4,4.0,0.351,4.1,6.6,0.628,0.59,3.1,3.7,0.826,1.2,4.7,5.8,1.8,1.7,0.3,1.1,3.7,15.3,2018,EL
2439,Nihad Djedovic,198,93,Bosnia and Herzegovina,Europe,SG,29,Bayern Munich,30,23.0,6.3,13.4,0.463,1.9,5.6,0.33,4.3,7.8,0.556,0.541,3.0,3.5,0.836,1.0,3.1,4.3,4.7,1.7,0.0,1.9,4.0,17.2,2018,EL
2440,Shavon Shields,201,102,USA,Americas,GF,24,Baskonia,33,24.5,6.0,12.1,0.502,1.3,3.6,0.356,4.7,8.5,0.558,0.55,2.6,2.9,0.883,1.8,2.8,4.6,1.8,1.0,0.2,1.6,3.3,16.0,2018,EL
2441,Edwin Jackson,188,91,France,Europe,SG,29,Buducnost,30,26.4,5.3,12.0,0.439,2.6,6.1,0.429,2.7,5.9,0.462,0.55,1.7,2.0,0.85,1.1,2.7,3.8,2.9,1.1,0.2,2.3,3.2,14.8,2018,EL
2442,Jeremy Evans,206,91,USA,Americas,F,31,Darussafaka Basketbol Istanbul,27,26.0,6.0,10.6,0.567,1.2,3.2,0.379,4.8,7.4,0.646,0.623,1.7,2.5,0.69,3.1,6.0,9.1,1.2,1.1,1.8,1.4,2.8,14.9,2018,EL
2443,Zach LeDay,201,104,USA,Americas,F,24,Olympiacos,30,17.1,7.7,14.5,0.538,0.7,2.1,0.357,7.0,12.4,0.566,0.555,6.3,8.2,0.781,4.0,5.6,9.4,0.7,0.7,0.9,2.1,4.2,22.7,2018,EL
